date,game_pk,game_number,sport,market,match,away_team_name,home_team_name,total_line,over_price,under_price,final_total_runs,result,paired_bucket,paired_winning_side,paired_over_bucket_plus_or_minus,paired_under_bucket_plus_or_minus,source_pull_time,polymarket_event_slug,polymarket_market_slug,polymarket_market_id,over_token_id,under_token_id,polymarket_event_url
2026-04-19,824047,1,MLB,Game Total O/U,San Diego Padres @ Los Angeles Angels,San Diego Padres,Los Angeles Angels,9.5,39.5,60.5,3,Under,Over 35-40 / Under 60-65,Under,Over 35-40 -,Under 60-65 +,03:00 ET history nearest over=2026-04-19T07:00:54.000Z under=2026-04-19T07:00:39.000Z,mlb-sd-laa-2026-04-19,mlb-sd-laa-2026-04-19-total-9pt5,2015807,101962443951910844972337328555094027548298516844824482810457908247914701222119,18877372829189778705187031255204552102581256793740074543446341022722527460532,https://polymarket.us/event/mlb-sd-laa-2026-04-19
2026-04-19,822750,1,MLB,Game Total O/U,San Francisco Giants @ Washington Nationals,San Francisco Giants,Washington Nationals,8.5,47.5,52.5,3,Under,Over 45-50 / Under 50-55,Under,Over 45-50 -,Under 50-55 +,03:00 ET history nearest over=2026-04-19T07:00:48.000Z under=2026-04-19T07:00:53.000Z,mlb-sf-wsh-2026-04-19,mlb-sf-wsh-2026-04-19-total-8pt5,2015821,14740442883077099992379367752102350120229108708600180270137204440136940440413,37582979260986020355017985862044298407198318570310521485996958224935864695892,https://polymarket.us/event/mlb-sf-wsh-2026-04-19
2026-04-19,824205,1,MLB,Game Total O/U,St. Louis Cardinals @ Houston Astros,St. Louis Cardinals,Houston Astros,8.5,51.5,48.5,12,Over,Over 50-55 / Under 45-50,Over,Over 50-55 +,Under 45-50 -,03:00 ET history nearest over=2026-04-19T07:00:41.000Z under=2026-04-19T07:00:47.000Z,mlb-stl-hou-2026-04-19,mlb-stl-hou-2026-04-19-total-8pt5,2015815,27354833697309669453246392027005144472208744422039161401494388699474012522014,89147970265530636795115573609538003684174214267322358744599789333281861830033,https://polymarket.us/event/mlb-stl-hou-2026-04-19
2026-04-19,823393,1,MLB,Game Total O/U,Tampa Bay Rays @ Pittsburgh Pirates,Tampa Bay Rays,Pittsburgh Pirates,7.5,50.5,49.5,9,Over,Over 50-55 / Under 45-50,Over,Over 50-55 +,Under 45-50 -,03:00 ET history nearest over=2026-04-19T07:00:45.000Z under=2026-04-19T07:00:54.000Z,mlb-tb-pit-2026-04-19,mlb-tb-pit-2026-04-19-total-7pt5,2016121,88229649962505337546596262637758922909614383668729438410571875769468736855868,16376492044149177113512614283736026136158491807778149805330508826355126476206,https://polymarket.us/event/mlb-tb-pit-2026-04-19
2026-04-19,823393,1,MLB,Game Total O/U,Tampa Bay Rays @ Pittsburgh Pirates,Tampa Bay Rays,Pittsburgh Pirates,8.5,42.5,57.5,9,Over,Over 40-45 / Under 55-60,Over,Over 40-45 +,Under 55-60 -,03:00 ET history nearest over=2026-04-19T07:00:36.000Z under=2026-04-19T07:00:50.000Z,mlb-tb-pit-2026-04-19,mlb-tb-pit-2026-04-19-total-8pt5,2015823,22930408360146206349948282418798101345324494477463787399094992896179367469131,89408609877913867336972879664012337806065578369277903649605102112367531888144,https://polymarket.us/event/mlb-tb-pit-2026-04-19
2026-04-19,823150,1,MLB,Game Total O/U,Texas Rangers @ Seattle Mariners,Texas Rangers,Seattle Mariners,7.5,44.5,55.5,7,Under,Over 40-45 / Under 55-60,Under,Over 40-45 -,Under 55-60 +,03:00 ET history nearest over=2026-04-19T07:00:51.000Z under=2026-04-19T07:00:38.000Z,mlb-tex-sea-2026-04-19,mlb-tex-sea-2026-04-19-total-7pt5,2016113,110655691196557539268924293235749867918852572468947092403154659045801366035461,96354265175099222137671228737209382011237855771552461497678373084738888070617,https://polymarket.us/event/mlb-tex-sea-2026-04-19
2026-04-19,825100,1,MLB,Game Total O/U,Toronto Blue Jays @ Arizona Diamondbacks,Toronto Blue Jays,Arizona Diamondbacks,8.5,45.5,54.5,14,Over,Over 45-50 / Under 50-55,Over,Over 45-50 +,Under 50-55 -,03:00 ET history nearest over=2026-04-19T07:00:49.000Z under=2026-04-19T07:00:48.000Z,mlb-tor-ari-2026-04-19,mlb-tor-ari-2026-04-19-total-8pt5,2015805,112736240528499912756704727271721348610828465935291980847023581361444329580499,75516431940859188734356960902445574702542369994007019169862472123430826980503,https://polymarket.us/event/mlb-tor-ari-2026-04-19
2026-04-20,822749,1,MLB,Game Total O/U,Atlanta Braves @ Washington Nationals,Atlanta Braves,Washington Nationals,8.5,46.5,53.5,13,Over,Over 45-50 / Under 50-55,Over,Over 45-50 +,Under 50-55 -,03:00 ET history nearest over=2026-04-20T07:00:53.000Z under=2026-04-20T06:50:45.000Z,mlb-atl-wsh-2026-04-20,mlb-atl-wsh-2026-04-20-total-8pt5,2024891,21752346408477771368665382742240678124725251218964493860402230931268839196184,31621539131710072531173376947448862015811168988250521502869931072362135999263,https://polymarket.us/event/mlb-atl-wsh-2026-04-20
2026-04-20,822749,1,MLB,Game Total O/U,Atlanta Braves @ Washington Nationals,Atlanta Braves,Washington Nationals,9.5,36,64,13,Over,Over 35-40 / Under 60-65,Over,Over 35-40 +,Under 60-65 -,03:00 ET history nearest over=2026-04-20T07:00:53.000Z under=2026-04-20T07:00:54.000Z,mlb-atl-wsh-2026-04-20,mlb-atl-wsh-2026-04-20-total-9pt5,2024451,8212262239399272059004151963584756174389130592983745791241799353247660095619,79998817871693226849050079084025620370713838703425921082669030168002180138490,https://polymarket.us/event/mlb-atl-wsh-2026-04-20
2026-04-20,824125,1,MLB,Game Total O/U,Baltimore Orioles @ Kansas City Royals,Baltimore Orioles,Kansas City Royals,8.5,55.5,44.5,12,Over,Over 55-60 / Under 40-45,Over,Over 55-60 +,Under 40-45 -,03:00 ET history nearest over=2026-04-20T07:00:51.000Z under=2026-04-20T07:00:46.000Z,mlb-bal-kc-2026-04-20,mlb-bal-kc-2026-04-20-total-8pt5,2025172,4128279747872136912176845291047823247011866231555052015845255300444331060166,71292383877131177210209117381123784491450752183169929007204852331514131023053,https://polymarket.us/event/mlb-bal-kc-2026-04-20
