date,game_pk,game_number,match,total_line,reason,polymarket_event_slug,polymarket_market_slug
2026-04-15,823803,1,Toronto Blue Jays @ Milwaukee Brewers,7.5,No historical price around 3am for one or both Over/Under tokens.,mlb-tor-mil-2026-04-15,mlb-tor-mil-2026-04-15-total-7pt5
2026-04-15,823399,1,Washington Nationals @ Pittsburgh Pirates,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-wsh-pit-2026-04-15,mlb-wsh-pit-2026-04-15-total-8pt5
2026-04-15,823399,1,Washington Nationals @ Pittsburgh Pirates,9.5,No historical price around 3am for one or both Over/Under tokens.,mlb-wsh-pit-2026-04-15,mlb-wsh-pit-2026-04-15-total-9pt5
2026-04-16,824208,1,Colorado Rockies @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-col-hou-2026-04-16,
2026-04-16,823313,1,Seattle Mariners @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-sd-2026-04-16,
2026-04-17,824373,1,Los Angeles Dodgers @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-col-2026-04-17,
2026-04-17,824048,1,San Diego Padres @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-laa-2026-04-17,
2026-04-17,824207,1,St. Louis Cardinals @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-stl-hou-2026-04-17,
2026-04-17,823152,1,Texas Rangers @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tex-sea-2026-04-17,
2026-04-18,824372,1,Los Angeles Dodgers @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-col-2026-04-18,
2026-04-18,824049,1,San Diego Padres @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-laa-2026-04-18,
2026-04-18,825098,1,Toronto Blue Jays @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tor-ari-2026-04-18,
2026-04-19,824371,1,Los Angeles Dodgers @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-col-2026-04-19,
2026-04-20,823149,1,Athletics @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-oak-sea-2026-04-20,
2026-04-20,824370,1,Los Angeles Dodgers @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-col-2026-04-20,
2026-04-20,824046,1,Toronto Blue Jays @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tor-laa-2026-04-20,
2026-04-21,823148,1,Athletics @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-oak-sea-2026-04-21,
2026-04-21,825099,1,Chicago White Sox @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cws-ari-2026-04-21,
2026-04-21,823236,1,Los Angeles Dodgers @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-sf-2026-04-21,
2026-04-21,822914,1,Pittsburgh Pirates @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-pit-tex-2026-04-21,
2026-04-21,824369,1,San Diego Padres @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-col-2026-04-21,
2026-04-21,824045,1,Toronto Blue Jays @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tor-laa-2026-04-21,
2026-04-22,822913,1,Pittsburgh Pirates @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-pit-tex-2026-04-22,
2026-04-22,824367,1,San Diego Padres @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-col-2026-04-22,
2026-04-23,822912,1,Pittsburgh Pirates @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-pit-tex-2026-04-23,
2026-04-23,824368,1,San Diego Padres @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-col-2026-04-23,
2026-04-24,822909,1,Athletics @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-oak-tex-2026-04-24,
2026-04-24,823962,1,Chicago Cubs @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-chc-lad-2026-04-24,
2026-04-24,823232,1,Miami Marlins @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-mia-sf-2026-04-24,
2026-04-24,824204,1,New York Yankees @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nyy-hou-2026-04-24,
2026-04-24,823069,1,Seattle Mariners @ St. Louis Cardinals,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-stl-2026-04-24,
2026-04-25,825093,1,San Diego Padres @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-ari-2026-04-25,
2026-04-26,825094,1,San Diego Padres @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-ari-2026-04-26,
2026-04-27,823311,1,Chicago Cubs @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-chc-sd-2026-04-27,
2026-04-27,823961,1,Miami Marlins @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-mia-lad-2026-04-27,
2026-04-27,822906,1,New York Yankees @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nyy-tex-2026-04-27,
2026-04-28,823310,1,Chicago Cubs @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-chc-sd-2026-04-28,
2026-04-28,825017,1,Kansas City Royals @ Athletics,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-kc-oak-2026-04-28,
2026-04-28,823956,1,Miami Marlins @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-mia-lad-2026-04-28,
2026-04-28,822908,1,New York Yankees @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nyy-tex-2026-04-28,
2026-04-29,825015,1,Kansas City Royals @ Athletics,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-kc-oak-2026-04-29,
2026-04-29,824445,1,Tampa Bay Rays @ Cleveland Guardians,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tb-cle-2026-04-29,
2026-05-01,824366,1,Atlanta Braves @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-col-2026-05-01,
2026-05-01,823309,1,Chicago White Sox @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cws-sd-2026-05-01,
2026-05-01,825012,1,Cleveland Guardians @ Athletics,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cle-oak-2026-05-01,
2026-05-01,823146,1,Kansas City Royals @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-kc-sea-2026-05-01,
2026-05-01,823066,1,Los Angeles Dodgers @ St. Louis Cardinals,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-stl-2026-05-01,
2026-05-01,824041,1,New York Mets @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-laa-2026-05-01,
2026-05-01,823713,1,Toronto Blue Jays @ Minnesota Twins,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tor-min-2026-05-01,
2026-05-02,824365,1,Atlanta Braves @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-col-2026-05-02,
2026-05-02,823308,1,Chicago White Sox @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cws-sd-2026-05-02,
2026-05-02,825014,1,Cleveland Guardians @ Athletics,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cle-oak-2026-05-02,
2026-05-02,823144,1,Kansas City Royals @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-kc-sea-2026-05-02,
2026-05-02,824042,1,New York Mets @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-laa-2026-05-02,
2026-05-03,824687,1,Arizona Diamondbacks @ Chicago Cubs,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-ari-chc-2026-05-03,
2026-05-03,824364,1,Atlanta Braves @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-col-2026-05-03,
2026-05-04,823143,1,Atlanta Braves @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-sea-2026-05-04,
2026-05-04,824039,1,Chicago White Sox @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cws-laa-2026-05-04,
2026-05-04,824684,1,Cincinnati Reds @ Chicago Cubs,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cin-chc-2026-05-04,
2026-05-04,824201,1,Los Angeles Dodgers @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-hou-2026-05-04,
2026-05-04,824363,1,New York Mets @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-col-2026-05-04,
2026-05-04,823228,1,San Diego Padres @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-sf-2026-05-04,
2026-05-05,823142,1,Atlanta Braves @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-sea-2026-05-05,
2026-05-05,824040,1,Chicago White Sox @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cws-laa-2026-05-05,
2026-05-05,824200,1,Los Angeles Dodgers @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-hou-2026-05-05,
2026-05-05,825092,1,Pittsburgh Pirates @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-pit-ari-2026-05-05,
2026-05-05,823227,1,San Diego Padres @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-sf-2026-05-05,
2026-05-06,825091,1,Pittsburgh Pirates @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-pit-ari-2026-05-06,
2026-05-07,824362,1,New York Mets @ Colorado Rockies,,No matching Polymarket MLB event found.,,
2026-05-07,823306,1,St. Louis Cardinals @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-stl-sd-2026-05-07,
